createdby,itemtotalprice,productname,description,modifiedon,createdon,itemprice,tax,itemquantity,ownerid,modifiedby,catalognumber,itemorder,productid,crmorderid,crmorderitemid,createdbyname,owneridname,modifiedbyname,productidname,crmorderidname,taxname
89F9D1ED-F191-4447-AA29-879331BA9B19,7440,מארז פנקייק,"מארז בגודל 23×23 ס״מ מעוצב וממותג במילוי תערובת להכנת פנקייק ( ללא עיטוף) , 3 מבחנות במילויים שונים – נטיפי שוקולד איכותי, מיני מרשמלו, עדשים",2026-01-25 16:43:07.000,2026-01-25 16:43:07.000,48,1,155,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,1176,1,5C114B49-202A-4EB9-AD5C-D946B8619C26,C8CF765D-76B1-4E43-ABC1-AF2A27ED6586,EA4290F1-643A-4C7B-A9EA-9E537A0B655A,מירית יוסף,מירית יוסף,מירית יוסף,מארז פנקייק,7715,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,168,מארז קרטון,אריזת קרטון  בסיס + אריזה בצלופן של כל המארז,2026-01-19 16:48:24.000,2026-01-19 16:48:24.000,8,1,21,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,5,,645B0DA7-E690-4D8D-A0B8-38A64BA973FE,782E623C-C554-48EA-99EA-9F41B4986D0B,מירית יוסף,מירית יוסף,מירית יוסף,,7713,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,39000,פנקייק XL,"מארז קוביה ענק בגודל 20*20*20 במילוי בלילת פנקייק, מייפל טבעי ,זוג ספלי זכוכית עם כיתוב  ,מבחנה עם  נטיפי שוקולד, שקית צלופן עם מיני מרשמלו, מבחנה עם סוכריות לעוגה ו2 פרלינים.",2026-01-07 11:06:53.000,2026-01-07 10:55:05.000,130,1,300,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,1405,3,BD9696BB-F22F-4F9D-8365-C085A0D6BDBA,B6FBFE9E-69F9-4F1A-9D97-889E26ED2047,A2338250-7014-43E1-ACB3-A0691B92F00E,מירית יוסף,מירית יוסף,מירית יוסף,פנקייק XL,7705,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,16500,משלוחים לבתים,,2026-01-07 10:45:21.000,2026-01-07 10:45:21.000,55,1,300,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,2,,B6FBFE9E-69F9-4F1A-9D97-889E26ED2047,AE4AF7F2-BABF-4593-B9F5-A06B413BD94C,מירית יוסף,מירית יוסף,מירית יוסף,,7705,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,990,מטריה שחורה ממותגת,מטריה שחורה בהדפסה צבעונית,2025-12-07 16:14:22.000,2025-12-07 16:14:22.000,33,1,30,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,1,,6EFD8803-A366-4AE8-BAF7-70B595AF6DBE,16CFDE4D-B4D7-416B-9378-A13030D6FA95,מירית יוסף,מירית יוסף,מירית יוסף,,7683,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,2200,סידור,סידור עם הטבעה,2025-09-16 10:07:48.000,2025-09-16 10:07:43.000,44,1,50,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,1,,B6C33907-BAA0-4CD7-9AA7-A16D5862D3F6,9E99D470-0BF5-4C76-9870-A1F96FFF0C09,מירית יוסף,מירית יוסף,מירית יוסף,,7623,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,5760,חלוק,חלוק עם חבק ממותג,2025-11-02 13:18:05.000,2025-11-02 13:18:05.000,160,1,36,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,1,,06B89036-1F63-4174-B500-2B3BB7F4205B,EB5ABC28-908E-4DF8-BD3A-A22267AFB0C2,מירית יוסף,מירית יוסף,מירית יוסף,,7649,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,600,עט ממותג,עט ממותג בהדפסה ישירה,2025-11-06 16:34:49.000,2025-11-06 16:34:49.000,3,1,200,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,5,,BBFDD02B-80B1-40D7-9525-384803D7C05B,C1AC44DB-6AD9-4ED6-946C-A4800888A114,מירית יוסף,מירית יוסף,מירית יוסף,,7656,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,350,משלוח,,2025-08-14 16:22:04.000,2025-08-14 16:22:04.000,350,1,1,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,2,,322C9442-9F35-4DF7-A035-467FB08256EB,2FDE04A1-A446-486A-980A-A495507755C0,מירית יוסף,מירית יוסף,מירית יוסף,,7597,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,5200,תיק בד מעוצב,תיק בד –  מעוצב וממותג בהדפסה ישירה,2025-11-06 16:31:28.000,2025-11-06 16:31:28.000,26,1,200,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,1340,1,0B6D9AFA-5AFB-47EF-BE48-D64193F05400,BBFDD02B-80B1-40D7-9525-384803D7C05B,D3296322-4698-42DD-B5D5-A4A102FCEA13,מירית יוסף,מירית יוסף,מירית יוסף,תיק בד מעוצב,7656,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,840,משלוח משטח,משלוח ב2 פעימות,2025-11-02 15:22:35.920,2025-11-02 15:22:35.920,420,1,2,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,3,,44D90713-34D8-4B8E-B8C0-F858B33F7AE6,0970E170-4C7A-422C-AD3E-A632EA467454,מירית יוסף,מירית יוסף,מירית יוסף,,7650,לפני
